plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE918646327583,V20224,Wind,Altlandsberg,Altlandsberg,1/31/2005,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1588.5056107007676
SEE922582710477,V20225,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,2100.1148889658493
SEE927766121933,WS3 Wittstock/Dosse 3,Wind,Heiligengrabe,Wittstock,11/29/2005,Hochspannung,1.5,0.3,3942.0,1872,,2169.493703304055
SEE913392916074,WEA 1 / 55198283,Wind,Plattenburg,Plattenburg,3/18/2021,Hochspannung,5.5,0.3,14454.0,2146,,1929.6566494933877
SEE926501244333,WEA 2 / 55198284,Wind,Plattenburg,Plattenburg,3/17/2021,Hochspannung,5.5,0.3,14454.0,1809,Schrepkow,1857.2379548322406
SEE981937757413,V37174,Wind,Märkische Heide,Märkische Heide,12/21/2009,Hochspannung,2.0,0.3,5256.0,1716,,679.9847676927124
SEE979256464990,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/11/2009,Hochspannung,0.63,0.12,662.256,1598,,3952.761199800067
SEE968930690206,V41273,Wind,Märkische Heide,Märkische Heide,12/2/2010,Hochspannung,2.0,0.3,5256.0,2070,Trafo,977.3024204637782
SEE965759336506,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/4/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE956148146721,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/4/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE997214483388,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/4/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE984876465104,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/4/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE989756435314,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/4/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
SEE939689960339,"MITAB GmbH & Co. KG, (PVA Finsterwalde 1b)",Solare Strahlungsenergie,Finsterwalde,Finsterwalde,8/5/2009,Hochspannung,1.25,0.12,1314.0,1598,,3952.761199800067
