substation_id,substation_name,n_plants,n_wind,n_solar,total_capacity_mw,total_energy_mwh_annual,avg_distance_m
579,Erdöl,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,3.0,0.0,3.0,29.33593,30837.929616,1510.3207360589156
589,,,,,,,
590,,,,,,,
591,,,,,,,
592,,,,,,,
593,,,,,,,
594,,,,,,,
595,,,,,,,
596,,,,,,,
597,,,,,,,
598,,,,,,,
599,,,,,,,
600,,,,,,,
601,,,,,,,
602,,,,,,,
603,TST Schulstraße,,,,,,
604,TST Thälmannplatz,,,,,,
605,,,,,,,
606,,,,,,,
607,,,,,,,
608,,,,,,,
609,,,,,,,
610,,,,,,,
611,,,,,,,
612,,,,,,,
613,,,,,,,
614,,,,,,,
615,,,,,,,
616,,,,,,,
617,,,,,,,
618,TS Redernswalde,,,,,,
619,,,,,,,
620,,,,,,,
621,,,,,,,
622,TrSt Handwerkergasse,,,,,,
623,TST Gipsstraße,,,,,,
624,TST Torfstich,,,,,,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,,,,,,,
630,,,,,,,
631,,,,,,,
632,,,,,,,
633,,,,,,,
634,,,,,,,
635,,,,,,,
636,,,,,,,
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,,,,,,,
641,,,,,,,
642,,,,,,,
643,TST Gartenstraße,,,,,,
644,TST Kieler Straße,,,,,,
645,,,,,,,
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,,,,,,,
653,,,,,,,
654,,,,,,,
655,,,,,,,
656,,,,,,,
657,,,,,,,
658,,,,,,,
659,,,,,,,
660,,,,,,,
661,,,,,,,
662,,,,,,,
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,,,,,,,
667,,,,,,,
668,,,,,,,
669,,,,,,,
670,,,,,,,
671,,,,,,,
672,,,,,,,
673,,5.0,0.0,5.0,26.545797,27904.9418064,1824.483401612765
674,,,,,,,
675,,,,,,,
676,,,,,,,
677,,,,,,,
678,,,,,,,
679,,,,,,,
680,St Dorfstraße,,,,,,
681,,,,,,,
682,,,,,,,
683,,,,,,,
684,,,,,,,
685,TST Wachow Birkenweg,,,,,,
686,,1.0,0.0,1.0,19.5832,20585.85984,3737.849305315284
687,,1.0,0.0,1.0,65.472,68824.16639999999,890.7490678530248
688,TST Knoblauch 1,,,,,,
689,,,,,,,
690,,,,,,,
691,,,,,,,
692,,,,,,,
693,,,,,,,
694,,,,,,,
695,,,,,,,
696,,,,,,,
697,,,,,,,
698,,,,,,,
699,,,,,,,
700,TST Zillestraße,,,,,,
701,TST An der Stammbahn,,,,,,
702,,,,,,,
703,,,,,,,
704,,,,,,,
705,,,,,,,
706,,,,,,,
707,,,,,,,
708,TST SW Falkenrede,,,,,,
709,,,,,,,
710,,,,,,,
711,,,,,,,
712,,,,,,,
713,,,,,,,
714,Dürrenhofe Lübbener Straße,,,,,,
715,TST Alte Dorfstraße,,,,,,
716,,,,,,,
717,TST Kähnsdorf Campingplatz,,,,,,
718,TST Fresdorf Luckenwalder Straße 1,,,,,,
719,,,,,,,
720,,,,,,,
721,,,,,,,
722,,,,,,,
723,,,,,,,
724,,,,,,,
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,,,,,,,
729,Trafostation Altglienicker Ch,,,,,,
730,,,,,,,
731,,,,,,,
732,,,,,,,
733,,,,,,,
734,,,,,,,
735,,,,,,,
736,Messhaus VEAB,,,,,,
737,Messhaus Zuchenberg,,,,,,
738,Messhaus Bahnbetriebswerk,,,,,,
739,,,,,,,
740,,,,,,,
741,,,,,,,
742,,,,,,,
743,,,,,,,
744,,,,,,,
745,TST Kleinmachnow Fashionparc,,,,,,
746,,,,,,,
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,TST Am Wiesengrund,,,,,,
753,,,,,,,
754,,,,,,,
755,,,,,,,
756,,,,,,,
757,,,,,,,
758,,,,,,,
759,,,,,,,
760,,,,,,,
761,,,,,,,
762,,,,,,,
763,,,,,,,
764,,,,,,,
765,,,,,,,
766,,,,,,,
767,,,,,,,
768,,,,,,,
769,,,,,,,
770,,,,,,,
771,,,,,,,
772,,,,,,,
773,,,,,,,
774,,,,,,,
775,,,,,,,
776,,,,,,,
777,,,,,,,
778,,,,,,,
779,,,,,,,
780,,,,,,,
781,,1.0,0.0,1.0,7.788,8186.7456,265.6380398838988
782,,,,,,,
783,,,,,,,
784,,,,,,,
785,,,,,,,
786,,,,,,,
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,,,,,,,
794,,,,,,,
795,,,,,,,
796,,,,,,,
797,,,,,,,
798,,,,,,,
799,,,,,,,
800,,,,,,,
801,,,,,,,
802,,,,,,,
803,,,,,,,
804,,,,,,,
805,,,,,,,
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,,,,,,,
811,,,,,,,
812,,,,,,,
813,,,,,,,
814,,,,,,,
815,Wolletz TrSt Dorf,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,,,,,,,
820,,,,,,,
821,,,,,,,
822,,,,,,,
823,,,,,,,
824,,,,,,,
825,,,,,,,
826,,,,,,,
827,,,,,,,
828,,,,,,,
829,,,,,,,
830,,,,,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,TST Stolper Weg,,,,,,
837,,,,,,,
838,,1.0,1.0,0.0,2.3,6044.4,1417.2053217810444
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,2.0,2.0,0.0,11.4,29959.199999999997,821.7338898410342
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,,,,
859,,,,,,,
860,,15.0,15.0,0.0,29.3,77000.4,2585.764664900826
861,,,,,,,
862,,,,,,,
863,TST Seeburg Dorf,,,,,,
864,,,,,,,
865,,,,,,,
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,,,,,,,
870,TST Falkenrede Siedlung,,,,,,
871,,,,,,,
872,,,,,,,
873,Trafohäuschen mit Seemotiven,,,,,,
874,,,,,,,
875,,,,,,,
876,,,,,,,
877,,,,,,,
878,TST Potsdamer Landstraße,,,,,,
879,,,,,,,
880,,,,,,,
881,TST Schaugehege,,,,,,
882,,,,,,,
883,,,,,,,
884,,,,,,,
885,,,,,,,
886,,,,,,,
887,,,,,,,
888,,,,,,,
889,,,,,,,
890,TST Wildenbrucher Straße,,,,,,
891,,,,,,,
892,,,,,,,
893,,,,,,,
894,Trst Rüdersdorf Heinitzstraße,,,,,,
895,Trst Rüdersdorf Am Kanal,,,,,,
896,Trst Woltersdorf Kranichsberg,,,,,,
897,,,,,,,
898,,,,,,,
899,,,,,,,
900,,,,,,,
901,,,,,,,
902,,,,,,,
903,,,,,,,
904,,,,,,,
905,,,,,,,
906,,,,,,,
907,,,,,,,
908,,,,,,,
909,,,,,,,
910,,,,,,,
911,,,,,,,
912,,,,,,,
913,,,,,,,
914,,9.0,9.0,0.0,24.45,64254.6,2031.1831677592418
915,,,,,,,
916,,,,,,,
917,,,,,,,
918,,,,,,,
919,,,,,,,
920,,,,,,,
921,,,,,,,
922,,,,,,,
923,,,,,,,
924,,,,,,,
925,,,,,,,
926,ASt Kerkow BHKW II,,,,,,
927,Angermünde TrSt Markt,,,,,,
928,,,,,,,
929,,,,,,,
930,,,,,,,
931,,,,,,,
932,,,,,,,
933,,,,,,,
934,,,,,,,
935,,,,,,,
936,,,,,,,
937,,,,,,,
938,,,,,,,
939,,,,,,,
940,Schaltstation Roskow,,,,,,
941,,,,,,,
942,,,,,,,
943,,,,,,,
944,,,,,,,
945,,,,,,,
946,,,,,,,
947,,,,,,,
948,,,,,,,
949,,,,,,,
950,,,,,,,
951,,,,,,,
952,,,,,,,
953,,,,,,,
954,,,,,,,
955,,,,,,,
956,,,,,,,
957,,,,,,,
958,,,,,,,
959,,,,,,,
960,,,,,,,
961,,,,,,,
962,,,,,,,
963,,2.0,0.0,2.0,2.1744,2285.7292799999996,2891.3039446429702
964,,,,,,,
965,,,,,,,
966,,,,,,,
967,,,,,,,
968,,,,,,,
969,,,,,,,
970,,,,,,,
971,TST Ruhlsdorfer Straße,,,,,,
972,,,,,,,
973,,,,,,,
974,TST Zum Wasserwerk,,,,,,
975,TST Radelandberg,,,,,,
976,TST Radelandberg,,,,,,
977,TST Olympisches Dorf 3,,,,,,
978,TST Olympisches Dorf 2,,,,,,
979,TST Olympisches Dorf 1,,,,,,
980,,,,,,,
981,TST Horst-Müller-Straße,,,,,,
982,,,,,,,
983,,,,,,,
984,,,,,,,
985,,,,,,,
986,TST Feuerwehr,,,,,,
987,,,,,,,
988,,,,,,,
989,,,,,,,
990,TS Tierpark,,,,,,
991,,,,,,,
992,,,,,,,
993,,,,,,,
994,,,,,,,
995,,,,,,,
996,TST Triftweg,,,,,,
997,,,,,,,
998,,,,,,,
999,,,,,,,
1000,,,,,,,
1001,,,,,,,
1002,,1.0,0.0,1.0,0.032,33.6384,411.6495779127413
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,TS TÜV,,,,,,
1007,TS Krankenhaus,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,,,,,,,
1015,,,,,,,
1016,,,,,,,
1017,,,,,,,
1018,,,,,,,
1019,,,,,,,
1020,,,,,,,
1021,,,,,,,
1022,,,,,,,
1023,,,,,,,
1024,,,,,,,
1025,,,,,,,
1026,,,,,,,
1027,,,,,,,
1028,,,,,,,
1029,,,,,,,
1030,,,,,,,
1031,,,,,,,
1032,,,,,,,
1033,,,,,,,
1034,,,,,,,
1035,,,,,,,
1036,,,,,,,
1037,TS Strandbad,,,,,,
1038,,,,,,,
1039,,,,,,,
1040,,,,,,,
1041,TST Falkenrede Knoblaucher Weg,,,,,,
1042,,3.0,0.0,3.0,69.3,72848.16,3577.4150455803997
1043,Angermünde TrSt SERO,,,,,,
1044,TS Mühlengraben,,,,,,
1045,Angermünde TrSt Tankstelle,,,,,,
1046,Angermünde TrSt Am Wall,,,,,,
1047,Angermünde TrSt Seestr.,,,,,,
1048,,,,,,,
1049,Muskauer Str.,,,,,,
1050,,,,,,,
1051,,,,,,,
1052,,,,,,,
1053,,,,,,,
1054,,,,,,,
1055,,,,,,,
1056,,,,,,,
1057,,,,,,,
1058,,,,,,,
1059,,,,,,,
1060,HH Galileistrasse,,,,,,
1061,TST Alter Fischerweg,,,,,,
1062,,,,,,,
