substation_id,substation_name,total_capacity_mw,total_energy_mwh,n_plants,avg_distance_m
3242,Umspannwerk Kathlow,14.0,36792.0,7,1377.7922108413209
3247,,64.2,168717.6,29,1482.4988894884098
3265,,15.377,16164.302400000002,1,54.75775084717159
3269,,18.392,19333.6704,1,107.22223660661503
3276,Wichmannsdorf Ost,159.24831,167401.82347199996,3,552.1839035555557
3277,Umspannwerk Bertikow,73.08,192054.24,20,2749.6218101993445
3282,UW Frieedersdorf,4.0,10512.0,2,436.51093154635316
3284,TS Dannenberg Bodenseichen,16.8,44150.4,4,3734.5562792665523
33,,2.3,6044.4,1,3064.404019691955
3327,,2.35,6175.8,1,6128.4346985505035
3341,,1.5,3942.0,1,15.341469900273069
3342,,1.5,3942.0,1,12.288304617541204
3343,,2.0,5256.0,1,7.966607180167081
3344,,1.5,3942.0,1,14.356774019618074
3345,,1.5,3942.0,1,11.860368675968932
3346,,1.5,3942.0,1,11.189284041572947
3347,,3.85,10117.8,2,125.19817068309908
3348,,1.5,3942.0,1,13.521813857479936
3349,,3.5,9198.0,2,318.00957898448905
3353,,2.05,5387.4,1,13.49081223845806
3354,,2.05,5387.4,1,13.990734536274168
3355,,2.05,5387.4,1,13.534158082752196
3356,,22.0,57816.0,4,390.1811628522555
3361,,4.0,10512.0,2,422.92413963684055
3363,,4.0,10512.0,2,393.6658168578307
3364,,5.5,14454.0,1,349.5651790335247
3365,,4.0,10512.0,2,150.04721295075788
3366,,1.5,3942.0,1,13.243515221710492
3367,,1.5,3942.0,1,13.915619587680393
3368,,4.0,10512.0,2,217.2744023799229
3369,,5.5,14454.0,3,207.76627277483385
3370,,6.2,16293.6,3,325.45296731290017
3372,,6.35,16687.8,3,349.4938074750094
3373,,4.35,11431.8,2,552.563077095573
3374,,39.2,103017.59999999999,7,1095.9117585509823
3378,,3.5,9198.0,2,5013.925748442615
3381,UW Görlsdorf,33.6,88300.8,8,1389.5247126319762
3382,Umspannwerk Großrössen,14.2,37317.6,4,1157.552579414874
339,,16.799999999999997,17660.159999999996,12,4258.226477173535
3394,,2.0,5256.0,1,2413.360298447408
3403,,30.43,79970.04,14,5303.088468441063
3408,,20.700000000000003,54399.600000000006,6,1861.3886576175184
3409,,2.0,5256.0,1,241.6329546984949
3410,,2.0,5256.0,1,958.9960719211673
3411,,2.0,5256.0,1,924.7880689333537
3415,,3.45,9066.6,1,628.7354308974975
3416,,22.75,59787.0,8,779.711954830439
3417,,19.55,51377.4,7,601.1512566072113
3418,,1.5,3942.0,1,13.130751047760365
3419,,1.5,3942.0,1,13.450582396636968
3420,,1.5,3942.0,1,15.215727217588553
3421,,1.5,3942.0,1,14.161074620845126
3422,,3.8,9986.4,2,80.14756023905086
3424,,58.62028,103170.318336,23,4266.276016072186
3425,UW Wuschewier,164.73363999999998,173168.002368,14,3549.3715976990416
3436,,37.85,99469.8,14,4061.023784751069
3438,,70.2,184485.6,25,2903.338225467769
3440,,22.8,59918.399999999994,4,4505.338972499837
3444,,11.4,29959.199999999997,2,1495.0379937668324
3446,,9.0,23652.0,3,2824.799747710467
3447,,52.25,54925.2,1,178.2017813011981
3450,Mürow Süd,19.6,51508.8,5,1106.4303751558305
3463,,49.6,130348.79999999999,8,4068.6614650704423
3466,,113.19879999999999,194996.33856,17,1588.0585092707968
3472,,1.5,3942.0,1,1272.2606183746914
3479,,4.0,10512.0,2,1870.133930531607
3481,,31.68,33302.015999999996,1,3181.4148968810896
3487,,10.512849999999998,11051.107919999997,2,531.8654466436698
3489,,7.33,19263.239999999998,3,1023.5773541603781
3491,,9.86,25912.079999999998,4,1713.1006779927486
3492,,8.3,21812.4,4,966.9422662494507
3505,,6.15,16162.199999999999,2,1897.4792390944997
3506,,3.075,8081.099999999999,1,2316.4190675320597
3507,,45.905,72498.636,6,1988.4625909332465
3508,,21.525000000000002,56567.7,7,1952.9743250311972
3517,Stegemannshof Nord 2,3.075,8081.099999999999,1,2126.833684864016
3518,,12.0,31536.0,5,3034.519245226371
3523,,2.4,6307.2,1,2935.053900572919
3537,,21.799999999999997,57290.399999999994,10,1332.0987287759544
3538,,51.327538000000004,79657.34794559999,12,2087.9364028908935
3542,Leißnitz,1.5,3942.0,1,1746.5749421653545
3543,Groß Rietz,20.0,52560.0,10,1843.5960446471843
357,,2.5,6570.0,1,1973.8216127385367
370,,3.0,7884.0,2,4351.581904402787
396,,25.9,68065.2,6,5333.693096755414
410,,20.46,21507.552000000003,2,1415.830580932266
450,Trafohäuschen mit Getreidefeld,16.8,44150.4,4,1266.9514636967006
488,,3.3,8672.4,1,1982.1768848634679
505,,1.5,3942.0,1,12.44154509937359
506,,1.5,3942.0,1,12.033978874788891
507,,1.5,3942.0,1,10.006606597703955
508,,1.5,3942.0,1,12.783378839840543
509,,1.5,3942.0,1,9.734550970613318
510,,1.5,3942.0,1,7.229769897594546
511,,1.5,3942.0,1,19.924106987020963
512,,1.5,3942.0,1,46.47666043554648
513,,1.5,3942.0,1,13.258505166453363
515,,1.5,3942.0,1,13.786288805005537
516,,3.0,7884.0,2,224.90435931109144
517,,5.5,14454.0,3,331.1293933781471
518,,3.0,7884.0,2,12.49074669404412
519,,3.5,9198.0,2,209.54168818952547
588,,29.33593,30837.929616,3,1510.3207360589156
673,,26.545797,27904.9418064,5,1824.483401612765
686,,19.5832,20585.85984,1,3737.849305315284
687,,65.472,68824.16639999999,1,890.7490678530248
781,,7.788,8186.7456,1,265.6380398838988
838,,2.3,6044.4,1,1417.2053217810444
851,,11.4,29959.199999999997,2,821.7338898410342
86,KPS Heidehof,110.3,289868.39999999997,52,1730.9772169291432
860,,29.3,77000.4,15,2585.764664900826
914,,24.45,64254.6,9,2031.1831677592418
963,,2.1744,2285.7292799999996,2,2891.3039446429702
99,,12.0,31536.0,6,2328.066149091183
