substation_id,substation_name,substation_operator,substation_voltage,substation_type,total_capacity_mw,total_energy_mwh,n_plants,n_wind,n_solar,avg_distance_to_substation_m,max_distance_to_substation_m
2092,,EMIS ENERGY,,,24.48,25733.375999999997,2,0,2,2512.473254328673,2597.3380258294715
2124,,,,,39.1,109605.12000000001,14,14,0,5142.9484682974235,6370.7278568046695
2131,Umspannwerk Roggosen,enviaM,110000,,36.375,38237.4,4,0,4,1543.966672804631,1723.9947153727867
2135,,enviaM,,minor_distribution,9.245,9718.344,1,0,1,3497.926023265098,3497.926023265098
2146,,,,minor_distribution,58.05,162725.76,28,28,0,1551.80962223409,2457.87009583176
2147,,,,,6.3,17660.16,2,2,0,1988.7131628250809,2047.7696761567738
2151,,,,minor_distribution,9.0,25228.800000000003,8,8,0,5555.7759559107135,6236.786856043065
2152,,Wema,,,5.4,15137.28,4,4,0,4663.599125626752,5208.230748219962
2153,,,,minor_distribution,45.9,128666.88,28,28,0,2892.6004038029273,5247.503692630204
2158,,e.dis,,minor_distribution,16.099999999999998,45131.520000000004,7,7,0,1055.1233655633644,1353.1745965033458
2159,Umspannwerk Feldheim,Energiequelle GmbH,110000,,135.2,378992.64,55,55,0,1532.6084418649066,5079.906580167613
2161,,,,minor_distribution,2.0,5606.400000000001,1,1,0,6631.544522236808,6631.544522236808
2163,,,,minor_distribution,3.45,9671.04,1,1,0,1246.2572377372255,1246.2572377372255
2172,,,,minor_distribution,82.8,121728.95999999999,11,9,2,5305.269262632882,6308.367599432364
2173,,,,,16.0,44851.2,5,5,0,1731.1088071707502,1996.9179922447627
2178,,,,minor_distribution,4.5,12614.400000000001,3,3,0,1293.775583368941,1597.5691977821702
2180,,,,minor_distribution,18.0,50457.600000000006,12,12,0,1634.561908214944,2041.4728440431195
221,Wahlsdorf 3,E.DIS Netz GmbH,,minor_distribution,26.41,74032.51199999999,9,9,0,2186.6960699939527,3583.836851343322
2227,,,,minor_distribution,96.5212,207196.28544,30,28,2,3420.450351408888,5629.831409249376
2237,,,,minor_distribution,24.0,67276.8,12,12,0,1212.8574285615712,1529.1246286595242
2238,,,,minor_distribution,14.600000000000001,15347.519999999999,2,0,2,2001.0180359215117,2001.0180359215117
2239,,,,minor_distribution,9.0,25228.800000000003,6,6,0,2051.4401069051974,2661.471271411075
2243,Umspannwerk Wittstock Solar,,110000,distribution,9.0,25228.800000000003,15,15,0,4855.0999709660155,5464.801656219942
2244,,,,minor_distribution,47.0,131750.40000000002,31,31,0,2909.239306717062,6023.899984419044
2257,,,,,8.0,22425.600000000002,4,4,0,3149.3418488704056,3458.8662059369963
2282,Umspannwerk Gransee,50Hertz Transmission GmbH,380000,transmission,2.0,5606.400000000001,1,1,0,1205.6645493455317,1205.6645493455317
2286,,,,minor_distribution,23.725,66505.92,12,12,0,3640.4443177936096,6349.481869312221
2289,Wind-UW Schlalach,Energiequelle,110000,generation,29.9,83815.68000000001,13,13,0,1254.81707878914,2627.4815374890622
2292,,,,,4.0,11212.800000000001,2,2,0,4651.683998625899,4719.061694188117
2304,,,,,37.29,39199.24799999999,1,0,1,5629.466335306074,5629.466335306074
2309,,,,,72.912,76645.09440000002,1,0,1,5102.196212569291,5102.196212569291
2311,Uckley,,110000,generation,46.5,130348.8,13,13,0,1455.9395660522366,2289.5852013154777
2320,,E.DIS,,,74.7,81152.64,4,1,3,7230.3534256573175,7427.11991138566
2328,UW Cremzow,ENERTRAG,110000,distribution,13.8,38684.16,4,4,0,3722.1617800194776,4085.690536729688
2332,Elisenau,ENERCON,110000,generation,20.6,57745.920000000006,6,6,0,598.9160109085013,1301.6729128870354
2340,Schaltpunkt Rietz,E.DIS Netz GmbH,110000,transmission,39.73,111371.136,12,12,0,1799.363960361081,2934.10034995986
2341,Treuenbrietzen Nord,E.DIS Netz GmbH,110000,distribution,12.600000000000001,35320.32,3,3,0,2084.0544830020403,2584.077456755851
2347,Jacobsdorf,MLK,110000,generation,55.75,156278.40000000002,17,17,0,1531.620447291248,2738.0183827406227
2348,Kerkow,ENERCON,110000,generation,24.55,68818.56,6,6,0,845.9001376072578,1643.3857286856219
2350,Sadenbeck,,110000,generation,24.3,68117.76000000001,15,15,0,3585.9981712944837,4432.731228635396
2351,Falkenhagen Nord,E.DIS Netz GmbH,110000,generation,350.6368,598451.80416,57,48,9,7364.262454985197,13106.411721434126
2352,Falkenhagen Süd,E.DIS Netz GmbH,110000;20000,distribution,6.0,16819.2,4,4,0,3043.1998976238197,3342.853305070774
2355,,,110000,,2.4,6727.68,1,1,0,1209.087644121027,1209.087644121027
236,Trafostation,E.ON edis AG,,,10.0,28032.000000000004,5,5,0,5751.328833713648,6196.342137816337
237,,Mitnetz Strom,,,0.135891,142.8486192,3,0,3,1465.3565800872914,1465.3565800872914
2371,,E.DIS Netz GmbH,,minor_distribution,52.8,148008.96000000002,21,21,0,2398.0471590427455,3424.985648056152
2373,,e.dis,110000,generation,61.3,171836.16,29,29,0,1159.9163345076404,2154.900190192408
2378,Umspannwerk Klettwitz,,110000,,48.956,74588.9472,6,4,2,2439.925067731543,2669.6364521456317
2393,,,,minor_distribution,8.4,23546.88,3,3,0,1356.4817828463545,1516.7421320858705
2395,,,,generation,6.3,6622.5599999999995,1,0,1,102.6244622744751,102.6244622744751
2396,,,,generation,13.45,37703.04000000001,6,6,0,5936.155078628627,6535.167342765677
2399,Umspannwerk Schipkau,,110000,,6.6,18501.12,2,2,0,2522.073141887959,2654.245618705508
2422,TS Windkraftanlage Weesow,,,,50.302,52877.4624,1,0,1,1214.561017346017,1214.561017346017
2433,,,,,2.7738,2915.81856,1,0,1,1925.0767820796568,1925.0767820796568
2434,,PROKON,110000,generation,7.2,20183.04,2,2,0,655.9021146257096,1090.7240018235925
2435,,,,minor_distribution,41.400000000000006,116052.48000000001,12,12,0,1461.5938109812166,2622.3685100068456
2441,Transformatorenstation Uhlenhof,,,minor_distribution,12.3,34479.36,5,5,0,1374.366956713249,1651.1456878478418
2443,,,110000,generation,68.775,192790.08,22,22,0,1643.436925385491,2652.2269340907455
2445,,E.DIS Netz GmbH,110000;20000,generation,4.0,11212.800000000001,2,2,0,458.7419476473763,650.4375809626808
2449,,,110000,generation,22.9,64193.280000000006,10,10,0,1428.6706240849064,4408.595333520932
2458,Netzstation Hörlitz,,,,6.0,16819.2,3,3,0,1304.7673688343114,1462.0879349539573
2461,,,,generation,18.0,50457.600000000006,9,9,0,1190.1782379611045,1915.3533927895992
2476,Werneuchen TrSt ZBE,,,,17.599,18500.0688,4,0,4,1515.8292753732073,1751.8546812419822
2494,Gottesgabe Wriezen,E.DIS Netz GmbH,110000,generation,3.9195,4120.1784,2,0,2,540.1241708118134,540.1241708118134
2496,,,110000,transmission,15.3,42888.96000000001,5,5,0,3099.9116633450067,5472.202226960936
2497,,,,,9.5,26630.4,5,5,0,849.328895057889,1343.1109889571958
2498,,,110000,transmission,28.9,81012.48000000001,11,11,0,1096.9499403242883,1785.7623124849301
2514,,,110000,,24.0,67276.8,12,12,0,1561.955276968187,2317.3065295423403
2516,Trafostation Zichtow Dorf MS-Raum/NS-Raum,,,minor_distribution,26.9,75406.08,13,13,0,1799.7236525939286,2244.221383603013
2517,,,,minor_distribution,4.0,11212.800000000001,2,2,0,1957.866255555529,2117.4151053330033
252,,,,,22.0,23126.399999999998,1,0,1,997.6349638632194,997.6349638632194
2521,Umspannwerk Ihlow,E.DIS Netz GmbH,110000,generation,72.138255,166234.933656,24,17,7,6699.798623217374,8348.96396267298
2523,,,,,9.95,27891.840000000004,12,12,0,3213.424673171505,5755.647671305743
2537,,,,,41.599999999999994,116613.12,13,13,0,2125.2823786027575,2829.7548879666024
